:START_ID,:END_ID,:TYPE
"SFS150","0002619B","PARENT_OF"
"6/8","0002619B","PARENT_OF"
"SFS150","0002619C","PARENT_OF"
"6/8","0002619C","PARENT_OF"
"SFS150","0002619D","PARENT_OF"
"6/8","0002619D","PARENT_OF"
"SFS150","0002619E","PARENT_OF"
"6/8","0002619E","PARENT_OF"
"SFS150","0002623A","PARENT_OF"
"6/8","0002623A","PARENT_OF"
"SFS150","0002625B","PARENT_OF"
"6/8","0002625B","PARENT_OF"
"SFS150","0002626A","PARENT_OF"
"6/8","0002626A","PARENT_OF"
"SFS150","0002627A","PARENT_OF"
"6/8","0002627A","PARENT_OF"
"SFS150","0002627C","PARENT_OF"
"6/8","0002627C","PARENT_OF"
"SFS150","0002627D","PARENT_OF"
"6/8","0002627D","PARENT_OF"
"SFS150","0002628A","PARENT_OF"
"6/8","0002628A","PARENT_OF"
"SFS150","0002629B","PARENT_OF"
"6/8","0002629B","PARENT_OF"
"EJULU","0002687C","PARENT_OF"
"SFS150","0002687C","PARENT_OF"
"EJULU","0002690B","PARENT_OF"
"SFS150","0002690B","PARENT_OF"
"EJULU","0002718A","PARENT_OF"
"SFS150","0002718A","PARENT_OF"
"EJULU","0002718D","PARENT_OF"
"SFS150","0002718D","PARENT_OF"
"SFS150","0002781A","PARENT_OF"
"6/8","0002781A","PARENT_OF"
"SFS150","0002781B","PARENT_OF"
"6/8","0002781B","PARENT_OF"
"SFS150","0002781C","PARENT_OF"
"6/8","0002781C","PARENT_OF"
"SFS150","0002782","PARENT_OF"
"6/8","0002782","PARENT_OF"
"SFS150","0002782A","PARENT_OF"
"6/8","0002782A","PARENT_OF"
"SFS150","0002783B","PARENT_OF"
"6/8","0002783B","PARENT_OF"
"SFS150","0002790","PARENT_OF"
"6/8","0002790","PARENT_OF"
"SFS150","0002799A","PARENT_OF"
"6/8","0002799A","PARENT_OF"
"SFS150","0002799B","PARENT_OF"
"6/8","0002799B","PARENT_OF"
"SFS150","0002799C","PARENT_OF"
"6/8","0002799C","PARENT_OF"
"SFS150","0002801B","PARENT_OF"
"6/8","0002801B","PARENT_OF"
"SFS150","0002801C","PARENT_OF"
"6/8","0002801C","PARENT_OF"
"SFS150","0002813A","PARENT_OF"
"6/8","0002813A","PARENT_OF"
"SFS150","0002813B","PARENT_OF"
"6/8","0002813B","PARENT_OF"
"SFS150","0002820A","PARENT_OF"
"6/8","0002820A","PARENT_OF"
"SFS150","0002820B","PARENT_OF"
"6/8","0002820B","PARENT_OF"
"PC110","0002861C","PARENT_OF"
"10/3","0002861C","PARENT_OF"
"PC110","0002864A","PARENT_OF"
"10/3","0002864A","PARENT_OF"
"SFS150","0002989A","PARENT_OF"
"12/108","0002989A","PARENT_OF"
"SFS150","0002989B","PARENT_OF"
"12/108","0002989B","PARENT_OF"
"SFS150","0002989C","PARENT_OF"
"12/108","0002989C","PARENT_OF"
"SFS150","0002989D","PARENT_OF"
"12/108","0002989D","PARENT_OF"
"SFS150","0002989E","PARENT_OF"
"12/108","0002989E","PARENT_OF"
"SFS150","0002992A","PARENT_OF"
"12/108","0002992A","PARENT_OF"
"SFS150","0002992B","PARENT_OF"
"12/108","0002992B","PARENT_OF"
"SFS150","0002992C","PARENT_OF"
"12/108","0002992C","PARENT_OF"
"SFS150","0002992D","PARENT_OF"
"12/108","0002992D","PARENT_OF"
"SFS150","0002997A","PARENT_OF"
"12/108","0002997A","PARENT_OF"
"SFS150","0002997B","PARENT_OF"
"12/108","0002997B","PARENT_OF"
"SFS150","0002997D","PARENT_OF"
"12/108","0002997D","PARENT_OF"
"SFS150","0002998A","PARENT_OF"
"12/108","0002998A","PARENT_OF"
"SFS150","0002998B","PARENT_OF"
"12/108","0002998B","PARENT_OF"
"SFS150","0002999A","PARENT_OF"
"12/108","0002999A","PARENT_OF"
"SFS150","0002999B","PARENT_OF"
"12/108","0002999B","PARENT_OF"
"SFS150","0002999C","PARENT_OF"
"12/108","0002999C","PARENT_OF"
"SFS150","0002999D","PARENT_OF"
"12/108","0002999D","PARENT_OF"
"SFS150","0002999E","PARENT_OF"
"12/108","0002999E","PARENT_OF"
"SFS150","0003006A","PARENT_OF"
"12/108","0003006A","PARENT_OF"
"SFS150","0003006B","PARENT_OF"
"12/108","0003006B","PARENT_OF"
"SFS150","0003012A","PARENT_OF"
"12/108","0003012A","PARENT_OF"
"SFS150","0003012B","PARENT_OF"
"12/108","0003012B","PARENT_OF"
"SFS150","0003012C","PARENT_OF"
"12/108","0003012C","PARENT_OF"
"SFS150","0003012D","PARENT_OF"
"12/108","0003012D","PARENT_OF"
"SFS150","0003020A","PARENT_OF"
"12/108","0003020A","PARENT_OF"
"SFS150","0003020D","PARENT_OF"
"12/108","0003020D","PARENT_OF"
"SFS150","0003020E","PARENT_OF"
"12/108","0003020E","PARENT_OF"
"SFS150","0003024A","PARENT_OF"
"12/108","0003024A","PARENT_OF"
"SFS150","0003024B","PARENT_OF"
"12/108","0003024B","PARENT_OF"
"SFS150","0003024C","PARENT_OF"
"12/108","0003024C","PARENT_OF"
"SFS150","0003028C","PARENT_OF"
"12/108","0003028C","PARENT_OF"
"PC110","0003038A","PARENT_OF"
"10/3","0003038A","PARENT_OF"
"PC110","0003041A","PARENT_OF"
"10/3","0003041A","PARENT_OF"
"PC110","0003041B","PARENT_OF"
"10/3","0003041B","PARENT_OF"
"PC110","0003066A","PARENT_OF"
"10/3","0003066A","PARENT_OF"
"SFS150","0003180","PARENT_OF"
"12/108","0003180","PARENT_OF"
"SFS150","0003190A","PARENT_OF"
"12/108","0003190A","PARENT_OF"
"SFS150","0003192A","PARENT_OF"
"12/108","0003192A","PARENT_OF"
"SFS150","0003192B","PARENT_OF"
"12/108","0003192B","PARENT_OF"
"SFS150","0003192C","PARENT_OF"
"12/108","0003192C","PARENT_OF"
"SFS150","0003197A","PARENT_OF"
"12/108","0003197A","PARENT_OF"
"SFS150","0003197B","PARENT_OF"
"12/108","0003197B","PARENT_OF"
"SFS150","0003197C","PARENT_OF"
"12/108","0003197C","PARENT_OF"
"SFS150","0003199A","PARENT_OF"
"12/108","0003199A","PARENT_OF"
"SFS150","0003199B","PARENT_OF"
"12/108","0003199B","PARENT_OF"
"SFS150","0003199C","PARENT_OF"
"12/108","0003199C","PARENT_OF"
"SFS150","0003199D","PARENT_OF"
"12/108","0003199D","PARENT_OF"
"SFS150","0003200A","PARENT_OF"
"12/108","0003200A","PARENT_OF"
"SFS150","0003200B","PARENT_OF"
"12/108","0003200B","PARENT_OF"
"SFS150","0003200C","PARENT_OF"
"12/108","0003200C","PARENT_OF"
"SFS150","0003200D","PARENT_OF"
"12/108","0003200D","PARENT_OF"
"SFS150","0003215A","PARENT_OF"
