id:ID,gener,par1,par2,year:int,:LABEL
"0001645D","1","SFS150","EJULU","2000","Plant"
"0001647B","1","SFS150","EJULU","2000","Plant"
"0001650","1","SFS150","EJULU","2000","Plant"
"0001654A","1","SFS150","EJULU","2000","Plant"
"0001654C","1","SFS150","EJULU","2000","Plant"
"0001656A","1","SFS150","EJULU","2000","Plant"
"0001656B","1","SFS150","EJULU","2000","Plant"
"0001656C","1","SFS150","EJULU","2000","Plant"
"0001660A","1","SFS150","EJULU","2000","Plant"
"0001661B","1","SFS150","EJULU","2000","Plant"
"0001661D","1","SFS150","EJULU","2000","Plant"
"0001661E","1","SFS150","EJULU","2000","Plant"
"0001661F","1","SFS150","EJULU","2000","Plant"
"0001661G","1","SFS150","EJULU","2000","Plant"
"0001662A","1","SFS150","EJULU","2000","Plant"
"0001662B","1","SFS150","EJULU","2000","Plant"
"0001663A","1","SFS150","EJULU","2000","Plant"
"0001665A","1","SFS150","EJULU","2000","Plant"
"0001665C","1","SFS150","EJULU","2000","Plant"
"0001667A","1","SFS150","EJULU","2000","Plant"
"0001667D","1","SFS150","EJULU","2000","Plant"
"0001668A","1","SFS150","EJULU","2000","Plant"
"0001668B","1","SFS150","EJULU","2000","Plant"
"0001668C","1","SFS150","EJULU","2000","Plant"
"0001668D","1","SFS150","EJULU","2000","Plant"
"0001669C","1","SFS150","EJULU","2000","Plant"
"0001669D","1","SFS150","EJULU","2000","Plant"
"0001686A","1","TL1","12/108","2000","Plant"
"0001690A","1","TL1","12/108","2000","Plant"
"0001690B","1","TL1","12/108","2000","Plant"
"0001691A","1","TL1","12/108","2000","Plant"
"0001691B","1","TL1","12/108","2000","Plant"
"0001691C","1","TL1","12/108","2000","Plant"
"0001693C","1","TL1","12/108","2000","Plant"
"0001698C","1","TL1","12/108","2000","Plant"
"0001701A","1","TL1","12/108","2000","Plant"
"0001738A","1","SFS150","6/8","2000","Plant"
"0001738B","1","SFS150","6/8","2000","Plant"
"0001738C","1","SFS150","6/8","2000","Plant"
"0001738D","1","SFS150","6/8","2000","Plant"
"0001738E","1","SFS150","6/8","2000","Plant"
"0001751A","1","SFS150","6/8","2000","Plant"
"0001751B","1","SFS150","6/8","2000","Plant"
"0001755A","1","SFS150","6/8","2000","Plant"
"0001765B","1","SFS150","6/8","2000","Plant"
"0001765C","1","SFS150","6/8","2000","Plant"
"0001765D","1","SFS150","6/8","2000","Plant"
"0001776A","1","PC110","6/8","2000","Plant"
"0001824A","1","PC87","15/10","2000","Plant"
"0001833B","1","PC110","6/8","2000","Plant"
"0001896","1","6/8","PC110","2000","Plant"
"0001937A","1","PC110","6/8","2000","Plant"
"0001983B","1","TL1","10/3","2000","Plant"
"0001984A","1","TL1","10/3","2000","Plant"
"0002003A","1","TL1","10/3","2000","Plant"
"0002003B","1","TL1","10/3","2000","Plant"
"0002017A","1","TL1","10/3","2000","Plant"
"0002017B","1","TL1","10/3","2000","Plant"
"0002024B","1","TL1","10/3","2000","Plant"
"0002024C","1","TL1","10/3","2000","Plant"
"0002035A","1","SFS150","6/8","2000","Plant"
"0002035B","1","SFS150","6/8","2000","Plant"
"0002047","1","SFS150","6/8","2000","Plant"
"0002060A","1","SFS150","6/8","2000","Plant"
"0002060B","1","SFS150","6/8","2000","Plant"
"0002073A","1","SFS150","6/8","2000","Plant"
"0002073B","1","SFS150","6/8","2000","Plant"
"0002111A","1","TL1","10/3","2000","Plant"
"0002111B","1","TL1","10/3","2000","Plant"
"0002132A","1","SFS150","6/8","2000","Plant"
"0002132B","1","SFS150","6/8","2000","Plant"
"0002134A","1","SFS150","6/8","2000","Plant"
"0002134B","1","SFS150","6/8","2000","Plant"
"0002135A","1","SFS150","6/8","2000","Plant"
"0002135C","1","SFS150","6/8","2000","Plant"
"0002138A","1","SFS150","6/8","2000","Plant"
"0002138C","1","SFS150","6/8","2000","Plant"
"0002157A","1","SFS150","6/8","2000","Plant"
"0002157D","1","SFS150","6/8","2000","Plant"
"0002159A","1","SFS150","6/8","2000","Plant"
"0002159B","1","SFS150","6/8","2000","Plant"
"0002159C","1","SFS150","6/8","2000","Plant"
"0002160B","1","SFS150","6/8","2000","Plant"
"0002165A","1","SFS150","6/8","2000","Plant"
"0002165B","1","SFS150","6/8","2000","Plant"
"0002203A","1","SFS150","12/108","2000","Plant"
"0002203B","1","SFS150","12/108","2000","Plant"
"0002203C","1","SFS150","12/108","2000","Plant"
"0002205A","1","SFS150","12/108","2000","Plant"
"0002218A","1","SFS150","12/108","2000","Plant"
"0002218B","1","SFS150","12/108","2000","Plant"
"0002218C","1","SFS150","12/108","2000","Plant"
"0002222A","1","SFS150","12/108","2000","Plant"
"0002229A","1","SFS150","12/108","2000","Plant"
"0002229B","1","SFS150","12/108","2000","Plant"
"0002332C","1","TL1","10/3","2000","Plant"
"0002333A","1","TL1","10/3","2000","Plant"
"0002347","1","TL1","10/3","2000","Plant"
"0002368A","1","TL1","10/3","2000","Plant"
"0002369A","1","TL1","10/3","2000","Plant"
"0002378A","1","SFS150","6/8","2000","Plant"
"0002378C","1","SFS150","6/8","2000","Plant"
"0002396A","1","SFS150","6/8","2000","Plant"
"0002403","1","SFS150","6/8","2000","Plant"
"0002405B","1","SFS150","6/8","2000","Plant"
