id	year	month	rainfall	date
324	1995	Dec	188	1995-12-01
325	1994	Jan	25.7	1994-01-01
326	1994	Feb	156	1994-02-01
327	1994	Mar	224.9	1994-03-01
328	1994	Apr	475.8	1994-04-01
329	1994	May	409.5	1994-05-01
330	1994	Jun	204	1994-06-01
331	1994	Jul	229.3	1994-07-01
332	1994	Aug	249.2	1994-08-01
333	1994	Sep	250.4	1994-09-01
334	1994	Oct	263.6	1994-10-01
335	1994	Nov	376.8	1994-11-01
336	1994	Dec	52.5	1994-12-01
337	1993	Jan	263	1993-01-01
338	1993	Feb	221.7	1993-02-01
339	1993	Mar	33.7	1993-03-01
340	1993	Apr	119.1	1993-04-01
341	1993	May	336.9	1993-05-01
342	1993	Jun	316.7	1993-06-01
343	1993	Jul	72.4	1993-07-01
344	1993	Aug	83.6	1993-08-01
345	1993	Sep	57.1	1993-09-01
346	1993	Oct	123.6	1993-10-01
347	1993	Nov	76.2	1993-11-01
348	1993	Dec	95.3	1993-12-01
349	2021	Jan	112.5	2021-01-01
350	2021	Feb	99.5	2021-02-01
351	2021	Mar	173	2021-03-01
352	2021	Apr	357.5	2021-04-01
353	2021	May	198.5	2021-05-01
354	2021	Jun	106.2	2021-06-01
355	2021	Jul	96.6	2021-07-01
356	2021	Aug	113.5	2021-08-01
357	2021	Sep	185	2021-09-01
358	2021	Oct	160.5	2021-10-01
359	2021	Nov	163.5	2021-11-01
360	2021	Dec	75	2021-12-01
361	2020	Jan	201.5	2020-01-01
362	2020	Feb	97	2020-02-01
363	2020	Mar	256	2020-03-01
364	2020	Apr	254.5	2020-04-01
365	2020	May	135	2020-05-01
366	2020	Jun	104.5	2020-06-01
367	2020	Jul	107	2020-07-01
368	2020	Aug	90.6	2020-08-01
369	2020	Sep	194.3	2020-09-01
370	2020	Oct	123.8	2020-10-01
371	2020	Nov	240	2020-11-01
372	2020	Dec	36.5	2020-12-01
373	2019	Jan	24	2019-01-01
374	2019	Feb	67.55	2019-02-01
375	2019	Mar	106	2019-03-01
376	2019	Apr	183.5	2019-04-01
377	2019	May	214	2019-05-01
378	2019	Jun	233.5	2019-06-01
379	2019	Jul	87.5	2019-07-01
380	2019	Aug	95.5	2019-08-01
381	2019	Sep	192	2019-09-01
382	2019	Oct	204.5	2019-10-01
383	2019	Nov	292.5	2019-11-01
384	2019	Dec	230	2019-12-01
385	2018	Jan	156.5	2018-01-01
386	2018	Feb	24.5	2018-02-01
387	2018	Mar	277	2018-03-01
388	2018	Apr	449	2018-04-01
389	2018	May	293.5	2018-05-01
390	2018	Jun	429	2018-06-01
391	2018	Jul	144.5	2018-07-01
392	2018	Aug	161.5	2018-08-01
393	2018	Sep	69	2018-09-01
394	2018	Oct	91	2018-10-01
395	2018	Nov	97.3	2018-11-01
396	2018	Dec	112.2	2018-12-01
397	2017	Jan	27	2017-01-01
398	2017	Feb	145.5	2017-02-01
399	2017	Mar	86.5	2017-03-01
400	2017	Apr	191	2017-04-01
401	2017	May	187.5	2017-05-01
402	2017	Jun	96.5	2017-06-01
403	2017	Jul	56.5	2017-07-01
404	2017	Aug	160.5	2017-08-01
405	2017	Sep	189	2017-09-01
406	2017	Oct	170	2017-10-01
407	2017	Nov	246	2017-11-01
408	2017	Dec	18	2017-12-01
409	2016	Jan	210.5	2016-01-01
410	2016	Feb	54	2016-02-01
411	2016	Mar	97.5	2016-03-01
412	2016	Apr	445	2016-04-01
413	2016	May	267.2	2016-05-01
414	2016	Jun	110.5	2016-06-01
415	2016	Jul	73	2016-07-01
416	2016	Aug	118.5	2016-08-01
417	2016	Sep	88.5	2016-09-01
418	2016	Oct	101.5	2016-10-01
419	2016	Nov	124.5	2016-11-01
420	2016	Dec	37.5	2016-12-01
421	2015	Jan	13.5	2015-01-01
422	2015	Feb	16	2015-02-01
423	2015	Mar	83.5	2015-03-01
424	2015	Apr	418	2015-04-01
425	2015	May	335.5	2015-05-01
426	2015	Jun	73	2015-06-01
427	2015	Jul	84	2015-07-01
428	2015	Aug	96.6	2015-08-01
429	2015	Sep	121.1	2015-09-01
430	2015	Oct	115	2015-10-01
431	2015	Nov	207	2015-11-01
432	2015	Dec	236	2015-12-01
433	2014	Jan	35	2014-01-01
434	2014	Feb	36.5	2014-02-01
435	2014	Mar	215.5	2014-03-01
436	2014	Apr	116	2014-04-01
437	2014	May	189.5	2014-05-01
438	2014	Jun	124.5	2014-06-01
439	2014	Jul	118	2014-07-01
440	2014	Aug	175.4	2014-08-01
441	2014	Sep	93.5	2014-09-01
442	2014	Oct	145	2014-10-01
443	2014	Nov	171	2014-11-01
444	2014	Dec	235	2014-12-01
445	2013	Jan	126.5	2013-01-01
446	2013	Feb	30	2013-02-01
447	2013	Mar	223.5	2013-03-01
448	2013	Apr	262	2013-04-01
449	2013	May	182	2013-05-01
450	2013	Jun	129.5	2013-06-01
451	2013	Jul	105	2013-07-01
452	2013	Aug	187.5	2013-08-01
453	2013	Sep	175.5	2013-09-01
454	2013	Oct	113	2013-10-01
455	2013	Nov	113	2013-11-01
456	2013	Dec	211.5	2013-12-01
457	2012	Jan	1	2012-01-01
458	2012	Feb	34.5	2012-02-01
459	2012	Mar	48	2012-03-01
460	2012	Apr	670.5	2012-04-01
461	2012	May	630.5	2012-05-01
462	2012	Jun	220.5	2012-06-01
463	2012	Jul	143.5	2012-07-01
464	2012	Aug	236	2012-08-01
465	2012	Sep	306	2012-09-01
466	2012	Oct	188.6	2012-10-01
467	2012	Nov	133.4	2012-11-01
468	2012	Dec	185.1	2012-12-01
469	2011	Jan	75.5	2011-01-01
470	2011	Feb	53	2011-02-01
471	2011	Mar	294	2011-03-01
472	2011	Apr	146	2011-04-01
473	2011	May	285	2011-05-01
474	2011	Jun	157	2011-06-01
475	2011	Jul	78.5	2011-07-01
476	2011	Aug	146.9	2011-08-01
