	ID	Female_parent	Male_parent
42701	9709964D	14/3	15/10
42702	9710131B	C12	12/109
42703	9710148A	C12	12/109
42704	9710152A	C12	12/109
42705	9710154B	C12	12/109
42706	9710209A	C12	12/109
42707	9710248A	C12	12/109
42708	9710248B	C12	12/109
42709	9710250A	C12	12/109
42710	9710250B	C12	12/109
42711	9710374A	C12	TL1
42712	9710375A	C12	TL1
42713	9710375B	C12	TL1
42714	9710439A	TL1	EJULU
42715	9710439B	TL1	EJULU
42716	9710439C	TL1	EJULU
42717	9710526B	303/577	15/10
42718	9710676A	C12	TL1
42719	9710676B	C12	TL1
42720	9710676C	C12	TL1
42721	9710680B	C12	TL1
42722	9710704A	C12	TL1
42723	9710707A	C12	TL1
42724	9710707B	C12	TL1
42725	9710707C	C12	TL1
42726	9710814A	C12	12/109
42727	9711026A	TL1	C12
42728	9711026B	TL1	C12
42729	9711119A	303/577	303/999
42730	9711119B	303/577	303/999
42731	9711119C	303/577	303/999
42732	9711334C	12/49	1/80
42733	9711392A	C12	12/109
42734	9711392B	C12	12/109
42735	9711396A	C12	12/109
42736	9711415A	C12	12/109
42737	9711415B	C12	12/109
42738	9711437A	C12	12/109
42739	9711500A	1/80	12/49
42740	9711500B	1/80	12/49
42741	9711540A	C12	12/109
42742	9711540B	C12	12/109
42743	9711540C	C12	12/109
42744	9711540D	C12	12/109
42745	9711540E	C12	12/109
42746	9711555B	C12	12/109
42747	9711564A	C12	12/109
42748	9711860A	4/1	15/10
42749	9711860B	4/1	15/10
42750	9711891A	4/1	15/10
42751	9711891B	4/1	15/10
42752	9711891C	4/1	15/10
42753	9711891D	4/1	15/10
42754	9711934A	TL1	C12
42755	9711934B	TL1	C12
42756	9712009A	1/80	12/49
42757	9712014A	1/80	12/49
42758	9712014B	1/80	12/49
42759	9712014C	1/80	12/49
42760	9712070A	303/577	303/999
42761	9712076A	303/577	303/999
42762	9712076B	303/577	303/999
42763	9712076C	303/577	303/999
42764	9712136A	1/80	12/49
42765	9712136B	1/80	12/49
42766	9712136C	1/80	12/49
42767	9712162A	1/80	12/49
42768	9712162B	1/80	12/49
42769	9712181A	4/1	15/10
42770	9712181B	4/1	15/10
42771	9712191A	4/1	15/10
42772	9712191B	4/1	15/10
42773	9712207A	4/1	15/10
42774	9712289A	4/1	15/10
42775	9712289B	4/1	15/10
42776	9712468B	303/577	303/999
42777	9712468C	303/577	303/999
42778	9712871A	4/1	303/577
42779	9713031A	4/1	303/999
42780	9713045A	4/1	303/999
42781	9713045B	4/1	303/999
42782	9713189A	MFS87	1/157
42783	9713644A	6/8	EJULU
42784	9713644B	6/8	EJULU
42785	9713644C	6/8	EJULU
42786	9713757A	6/8	EJULU
42787	9713780A	6/8	EJULU
42788	9713780B	6/8	EJULU
42789	9714224B	4/1	303/577
42790	9714231A	4/1	303/577
42791	9714231B	4/1	303/577
42792	9714246A	4/1	303/577
42793	9714246B	4/1	303/577
42794	9714334A	4/1	303/577
42795	9714334B	4/1	303/577
42796	9714351A	4/1	303/577
42797	9714351B	4/1	303/577
42798	9714351C	4/1	303/577
42799	9714500A	6/8	EJULU
42800	9714500B	6/8	EJULU
42801	9715075A	1/80	1/157
42802	9715075B	1/80	1/157
42803	9715075C	1/80	1/157
42804	9715075D	1/80	1/157
42805	9715463A	6/8	MRTM1
42806	9716033A	864	6/8
42807	9716095A	1/157	MRTM1
42808	9716095C	1/157	MRTM1
42809	9716171A	MFS87	1/157
42810	9716171B	MFS87	1/157
42811	9716539A	MFS87	1/80
42812	9716539B	MFS87	1/80
42813	9716946A	MFS87	1/157
42814	9716946B	MFS87	1/157
42815	9716946C	MFS87	1/157
42816	9716969A	MFS87	1/157
42817	9716969B	MFS87	1/157
42818	9716969C	MFS87	1/157
42819	9717056A	MFS87	1/157
42820	9717056B	MFS87	1/157
42821	9717077A	MFS87	1/80
42822	9717081A	MFS87	1/80
42823	9717081B	MFS87	1/80
42824	9717082A	MFS87	1/80
42825	9717082B	MFS87	1/80
42826	9717175A	MFS87	1/80
42827	9717178A	MFS87	1/80
42828	9717178B	MFS87	1/80
42829	9717183A	MFS87	1/80
42830	9717197A	MFS87	1/157
